业务板块,系统,外部系统,对接内容,数据方向
全板块,港华数据分析平台,AD,,BI->AD
全板块,港华数据分析平台,TMS/OA/TBDS/RPA,,BI<-TMS/OA/TBDS/RPA
燃气业务,TGii,AD,,TGii -> AD
燃气业务,TMS-Portal,AD,,TMS-Portal -> AD
燃气业务,供应商平台,AD,,TMS-供应商门户 -> AD
燃气业务,TMS,AD,,TMS <-> AD
燃气业务,TMS,TCIS,基础档案/收款和应收单,TMS  <-> TCIS
燃气业务,TMS,碳I星云-光伏星,收款、应收、暂估,TMS <- 碳I星云
燃气业务,TMS,IPMS巡检,故障记录、测量记录,TMS <- IPMS
燃气业务,TMS,泛微OA,待办消息、组织、人员信息、合同收付款/HR入转调离,TMS <-> OA
燃气业务,TMS,影像,查阅、扫描、重描、作废、归档、AD登录,TMS-> 影像
燃气业务,TMS,条码,物料、订单、送货单、AD登录,TMS <- 条码
燃气业务,TMS,银企直连,查询、付款,TMS<->网银
燃气业务,TOP,TCIS,爆管分析查询范围内用户数量、用气量、安检率统计,TOP<-TCIS
燃气业务,TOP,TCIS,抢险触发范围内向用户发短信,TOP->TCIS
燃气业务,TOP,AD,账号登录验证、账号信息同步,TOP->AD
燃气业务,TOP,阿里短信平台,超上下限的信息，以短信形式发送到用户的个人手机号码接收,TOP->阿里云
燃气业务,TOP,物联网关服务,上传厂站/管网设备的运行数据到百度天工物联网平台,TOP<-厂网物联设备
燃气业务,TOP,视频设备控制,按国标/RTSP协议连接到百度边缘节点的视联网平台,TOP<-视频监控设备
燃气业务,TOP,高分天气,获取指定经纬度的实况天气数据，空间精度1x1公里，时间分辨率1小时。区域覆盖中国，含天气现象、气温、体感温度、降水量、云量、能见度、紫外线指数、气压、相对湿度、风速、风向等要素,TOP->高分天气
燃气业务,TOP,城市生命线,对接各地政府部门生命线平台,TOP->各城市生命线平台
燃气业务,TOP,车载终端,实时定位及轨迹,TOP<-车载终端
燃气业务,TMS,TLC生活服务云,物料档案、库存、销售订单,TMS <-> TLC
燃气业务,TMS,易快报,物料档案、凭证信息,TMS <->易快报
燃气业务,TMS,TLC生活服务云,物料编码,TMS->TLC
延伸业务,TLC生活服务云,TCIS,订单信息,TLC->TCIS
延伸业务,TLC生活服务云,航信系统,电子签、发票信息/校验信息,TLC<->航信
延伸业务,TLC生活服务云,国税系统,开票信息/发票代码,TLC<->国信
延伸业务,TLC生活服务云,联通短信平台,订单信息、工单信息,TLC->短信平台
延伸业务,TLC生活服务云,支付,订单支付信息,TLC<->支付
延伸业务,TLC生活服务云,电商平台,进销存、备品备件,TLC<->万里牛
延伸业务,TLC生活服务云,企业微信,进销存、用户信息,TLC<->企业微信
延伸业务,TLC生活服务云,钉钉,审批待办推送,U8C->钉钉
延伸业务,TLC生活服务云,BI,销售数据、用户数据、库存数据,TLC->BI
延伸业务,U8C,钉钉,审批待办推送,U8C->钉钉
延伸业务,TCIS,BI,销售数据、用户数据、库存数据,TCIS->BI
延伸业务,TCIS,IC卡表具,气量写卡,TCIS->IC卡
延伸业务,TCIS,银行系统,实时缴费/代扣/代收,银行<->TCIS
延伸业务,TCIS,移动设备,抄表、安检、维修,TCIS<->服务商系统
延伸业务,TCIS,物联平台,NB表数据采集、阀门控制、表具异常预警、缴费同步,TCIS->服务商系统
延伸业务,TCIS,短信平台,账单信息通知,TCIS->电信平台
延伸业务,TCIS,政府平台,安检隐患,TCIS->地方平台
延伸业务,TCIS,移动支付,燃气费缴费,TCIS->支付平台
延伸业务,TCIS,航信系统,用户缴费数据,TCIS->发票平台
延伸业务,TCIS,微信公众号,开户、缴费,TCIS->讯腾开放
延伸业务,TCIS,爱山东,线上办理燃气业务,TCIS->山东政务平台
延伸业务,TCIS,无纸化,人脸识别、开户电子签章认证,TCIS<->磐信电子签平台
再生业务,碳I星云,光伏星,收款、应收、暂估等,碳I星云<->光伏星
再生业务,碳I星云,能碳星,设备采集数据、大屏数据,碳I星云 <-> 能碳星
再生业务,碳I星云,VPP星,设备采集数据、大屏数据,碳I星云 <-> VPP星
再生业务,碳I星云,运维星,光伏电站、设备资产，光伏设备告警,碳I星云 -> 运维星
再生业务,碳I星云,微网星,光伏储能负荷电表、EMS数据,碳I星云<->微网星
再生业务,碳I星云,储能星,储能电站统计数据,储能星-＞碳I星云->运维星
再生业务,碳I星云,浙江辉鸿虚拟电厂,储能电站统计数据,储能星-＞辉鸿虚拟电厂
再生业务,碳I星云,智慧楼宇平台,电梯，消防，安防，停车等数据,智慧楼宇平台＜-＞碳I星
再生业务,碳I星云,空气质量监测系统,二氧化碳，TVOC等空气数据,空气质量监测系统-＞碳I星
再生业务,碳I星云,电网交易系统,售电公司负荷、价格数据,电网交易系统->易电星
再生业务,碳I星云,电网虚拟电厂系统,设备采集数据、大屏数据,电网虚拟电厂系统 <-> VPP星
再生业务,钉钉,PLMS,消息/待办推送,PLMS ->钉钉
再生业务,钉钉,三好学堂,单点登录,钉钉 ->三好学堂
再生业务,钉钉,优行商旅,单点登录,钉钉 ->优行商旅
