序号,业务板块,系统,外部系统,对接内容,数据方向
1,全板块,港华数据分析平台,AD,账号登录验证,BI->AD
2,全板块,港华数据分析平台,TMS/OA/TBDS/RPA,账号登录验证,BI<-TMS/OA/TBDS/RPA
3,燃气业务,TGii,AD,账号登录验证,TGii -> AD
4,燃气业务,TMS-Portal,AD,账号登录验证,TMS-Portal -> AD
5,燃气业务,供应商平台,AD,账号登录验证,TMS-供应商门户 -> AD
6,燃气业务,TMS,AD,账号登录验证、账号信息同步,TMS <-> AD
7,燃气业务,TMS,TCIS,基础档案/收款和应收单,TMS  <-> TCIS
8,燃气业务,TMS,碳I星云-光伏星,收款、应收、暂估,TMS <- 碳I星云
10,燃气业务,TMS,IPMS巡检,故障记录、测量记录,TMS <- IPMS
11,燃气业务,TMS,泛微OA,待办消息、组织、人员信息、合同收付款/HR入转调离,TMS <-> OA
12,燃气业务,TMS,影像,查阅、扫描、重描、作废、归档、AD登录,TMS-> 影像
13,燃气业务,TMS,条码,物料、订单、送货单、AD登录,TMS <- 条码
14,燃气业务,TMS,银企直连,查询、付款,TMS<->网银
15,燃气业务,TOP,TCIS,爆管分析查询范围内用户数量、用气量、安检率统计,TOP<-TCIS
16,燃气业务,TOP,TCIS,抢险触发范围内向用户发短信,TOP->TCIS
17,燃气业务,TOP,AD,账号登录验证、账号信息同步,TOP->AD
18,燃气业务,TOP,阿里短信平台,超上下限的信息，以短信形式发送到用户的个人手机号码接收,TOP->阿里云
19,燃气业务,TOP,物联网关服务,上传厂站/管网设备的运行数据到百度天工物联网平台,TOP<-厂网物联设备
20,燃气业务,TOP,视频设备控制,按国标/RTSP协议连接到百度边缘节点的视联网平台,TOP<-视频监控设备
21,燃气业务,TOP,高分天气,获取指定经纬度的实况天气数据，空间精度1x1公里，时间分辨率1小时。区域覆盖中国，含天气现象、气温、体感温度、降水量、云量、能见度、紫外线指数、气压、相对湿度、风速、风向等要素,TOP->高分天气
22,燃气业务,TOP,城市生命线,对接各地政府部门生命线平台,TOP->各城市生命线平台
23,燃气业务,TOP,车载终端,实时定位及轨迹,TOP<-车载终端
24,燃气业务,TMS,TLC生活服务云,物料档案、库存、销售订单,TMS <-> TLC
25,燃气业务,TMS,易快报,物料档案、凭证信息,TMS <->易快报
26,燃气业务,TMS,TLC生活服务云,物料编码,TMS->TLC
27,燃气业务,TLC生活服务云,TCIS,订单信息,TLC->TCIS
28,燃气业务,TLC生活服务云,航信系统,电子签、发票信息/校验信息,TLC<->航信
29,燃气业务,TLC生活服务云,国税系统,开票信息/发票代码,TLC<->国信
30,燃气业务,TLC生活服务云,联通短信平台,订单信息、工单信息,TLC->短信平台
31,燃气业务,TLC生活服务云,支付,订单支付信息,TLC<->支付
32,燃气业务,TLC生活服务云,电商平台,进销存、备品备件,TLC<->万里牛
33,燃气业务,TLC生活服务云,企业微信,进销存、用户信息,TLC<->企业微信
34,燃气业务,TLC生活服务云,钉钉,审批待办推送,U8C->钉钉
35,燃气业务,TLC生活服务云,BI,销售数据、用户数据、库存数据,TLC->BI
36,燃气业务,U8C,钉钉,审批待办推送,U8C->钉钉
37,燃气业务,TCIS,BI,销售数据、用户数据、库存数据,TCIS->BI
38,燃气业务,TCIS,IC卡表具,气量写卡,TCIS->IC卡
39,燃气业务,TCIS,银行系统,实时缴费/代扣/代收,银行<->TCIS
40,燃气业务,TCIS,移动设备,抄表、安检、维修,TCIS<->服务商系统
41,燃气业务,TCIS,物联平台,NB表数据采集、阀门控制、表具异常预警、缴费同步,TCIS->服务商系统
42,燃气业务,TCIS,短信平台,账单信息通知,TCIS->电信平台
43,燃气业务,TCIS,政府平台,安检隐患,TCIS->地方平台
44,燃气业务,TCIS,移动支付,燃气费缴费,TCIS->支付平台
45,燃气业务,TCIS,航信系统,用户缴费数据,TCIS->发票平台
46,燃气业务,TCIS,微信公众号,开户、缴费,TCIS->讯腾开放
47,燃气业务,TCIS,爱山东,线上办理燃气业务,TCIS->山东政务平台
48,燃气业务,TCIS,无纸化,人脸识别、开户电子签章认证,TCIS<->磐信电子签平台
49,再生业务,碳I星云,光伏星,"1、收款、应收、暂估、TMS消息
2、指定类型告警；电站、设备台账
3、实时、历史数据","TMS<->碳I星云<->光伏星
光伏星-＞碳I星->运维星
光伏星-＞碳I星->业主方系统"
50,再生业务,碳I星云,能碳星,设备采集数据、大屏数据,碳I星云 <-> 能碳星
51,再生业务,碳I星云,VPP星,设备采集数据、大屏数据,碳I星云 <-> VPP星
52,再生业务,碳I星云,运维星,光伏电站、设备资产，光伏设备告警,碳I星云 -> 运维星
53,再生业务,碳I星云,微网星,光伏储能负荷电表、EMS数据,碳I星云<->微网星
54,再生业务,碳I星云,储能星,储能电站统计数据,储能星-＞碳I星云->运维星
55,再生业务,碳I星云,浙江辉鸿虚拟电厂,储能电站统计数据,储能星-＞辉鸿虚拟电厂
56,再生业务,碳I星云,智慧楼宇平台,电梯，消防，安防，停车等数据,智慧楼宇平台＜-＞碳I星
57,再生业务,碳I星云,空气质量监测系统,二氧化碳，TVOC等空气数据,空气质量监测系统-＞碳I星
58,再生业务,碳I星云,电网交易系统,售电公司负荷、价格数据,电网交易系统->易电星
59,再生业务,碳I星云,电网虚拟电厂系统,设备采集数据、大屏数据,电网虚拟电厂系统 <-> VPP星
60,再生业务,钉钉,PLMS,消息/待办推送,PLMS ->钉钉
61,再生业务,钉钉,三好学堂,单点登录,钉钉 ->三好学堂
62,再生业务,钉钉,优行商旅,单点登录,钉钉 ->优行商旅
63,气源业务,ERM,银证系统,应收单、收款单（气费销售、运费、预收款、保证金）,银证系统 -> ERM
64,绿燃业务,ERM,LE过磅系统,计量申请单、提货通知单、计量单,LE -> ERM
65,绿燃业务,ERM,泛微OA,预算单,OA -> ERM
66,华衍业务,NC,营收服务管理系统,工程转固信息,NC->营收服务管理系统
67,华衍业务,NC,营收服务管理系统,表具厂商、编号、表底数,NC（工单系统）-> 营销系统
68,华衍业务,NC,银企直连-银行,查询/付款,NC（银企直联）->银行
69,华衍业务,NC,主数据系统,人财务基本数据,NC->主数据系统
70,华衍业务,NC,NC（供应链）,物料信息、库存信息,NC（工单系统）<-NC（供应链）
71,华衍业务,友空间,营收服务管理系统,审批待办推送/消息回推,友空间<->营收服务管理系统
72,华衍业务,营收服务管理系统,主数据系统,客户数据,营收服务管理系统->主数据系统
73,华衍业务,营收服务管理系统,信用办,欠费信息,营收服务管理系统->信用办
74,华衍业务,营收服务管理系统,大数据中心,水费消费数据,营收服务管理系统->大数据中心
75,华衍业务,营收服务管理系统,审批局,地块信息、小区信息,营收服务管理系统<-审批局
76,华衍业务,营收服务管理系统,不动产中心,过户信息,营收服务管理系统->不动产中心
77,华衍业务,营收服务管理系统,云守护平台,重点用户信息,营收服务管理系统->云守护平台
78,华衍业务,营收服务管理系统,公安系统,空置房用水情况,营收服务管理系统->公安系统
79,华衍业务,营收服务管理系统,当地APP,用户缴费信息,营收服务管理系统->当地APP
80,华衍业务,营收服务管理系统,城市生命线,用水情况、产销差、生产数据,营收服务管理系统->城市生命线
81,华衍业务,营收服务管理系统,表务系统,水表状态,营收服务管理系统->表务系统
82,华衍业务,营收服务管理系统,银行系统,托收代扣,营收服务管理系统->银行/支付宝/微信
83,华衍业务,营收服务管理系统,电子发票,发票信息,营收服务管理系统->电子发票
84,华衍业务,营收服务管理系统,微信公众号,缴费、报装、抄表、自报读数,营收服务管理系统->微信公众号
85,华衍业务,营收服务管理系统,抄表系统,账单数据,营收服务管理系统<-抄表系统
86,华衍业务,抄表系统,物联水表,表数据,抄表系统<-物联水表
87,华衍业务,智能生产系统,PLC设备,生产数据,智能生产系统->PLC设备
88,华衍业务,智能生产系统,城市生命线,生产数据,智能生产系统->城市生命线
89,华衍业务,智能生产系统,主数据系统,生产数据,智能生产系统->主数据系统
